Year,County,Average of temperature that year,Sum of Positive Cases of West Nile Virus
2006,Alameda,16.1,1
2006,Alpine,5.2,
2006,Amador,14.4,
2006,BUTTE,16.5,31
2006,Calaveras,9.5,
2006,Colusa,16.5,3
2006,Contra Costa,15.1,8
2006,Del Norte,10.6,
2006,El Dorado,13.8,2
2006,Fresno,16.4,11
2006,Glenn,12.4,12
2006,Humboldt,13.7,
2006,Imperial,24.3,1
2006,Inyo,13.2,
2006,Kern,18,49
2006,Kings,17.8,1
2006,Lake,13.7,2
2006,Lassen,7.6,
2006,Los Angeles,16.4,12
2006,Madera,15.9,
2006,Marin,14.1,1
2006,Mariposa,17.7,
2006,Mendocino,14.2,
2006,Modoc,10.3,2
2006,Mono,11.3,1
2006,Monterey,16.1,
2006,Napa,13.6,1
2006,Nevada,6.9,1
2006,Orange,20,6
2006,Placer,16.6,8
2006,Plumas,8.9,
2006,Riverside,14.4,4
2006,Sacramento,17.2,15
2006,San Benito,14.7,
2006,San Diego,18.2,1
2006,San Francisco,13.7,
2006,San Joaquin,16.3,8
2006,San Luis Obispo,16.2,1
2006,San Mateo,12.5,
2006,Santa Barbara,17.6,
2006,Santa Clara,16.3,5
2006,Santa Cruz,14,
2006,Shasta,16.4,4
2006,Sierra,8.8,
2006,Siskiyou,8.8,
2006,Solano,17,6
2006,Sonoma,16.1,
2006,Stanislaus,16.4,11
2006,Tehama,17.3,3
2006,Trinity,11.6,
2006,Tulare,17.6,8
2006,Tuolumne,12,
2006,Ventura,15.9,3
2006,Yolo,17,26
2007,Alameda,15.8,
2007,Alpine,3.9,
2007,Amador,14.4,
2007,BUTTE,16.4,16
2007,Calaveras,10.1,
2007,Colusa,16.2,2
2007,Contra Costa,14.9,3
2007,Del Norte,11.8,
2007,El Dorado,14.1,
2007,Fresno,16.3,17
2007,Glenn,13.1,7
2007,Humboldt,13.2,
2007,Imperial,24.1,3
2007,Inyo,14,
2007,Kern,18,140
2007,Kings,17.9,7
2007,Lake,15.1,
2007,Lassen,7.8,
2007,Los Angeles,16.5,36
2007,Madera,16.2,2
2007,Marin,13.6,
2007,Mariposa,19.9,
2007,Mendocino,13.5,2
2007,Modoc,10,
2007,Mono,11.8,
2007,Monterey,14.9,
2007,Napa,14.5,1
2007,Nevada,6.6,
2007,Orange,19.8,9
2007,Placer,16.2,4
2007,Plumas,9.1,
2007,Riverside,14.4,17
2007,Sacramento,17.3,25
2007,San Benito,14.8,
2007,San Diego,17.7,15
2007,San Francisco,14,
2007,San Joaquin,16.3,10
2007,San Luis Obispo,16.6,
2007,San Mateo,12.1,
2007,Santa Barbara,16.5,
2007,Santa Clara,15.7,4
2007,Santa Cruz,13.7,
2007,Shasta,16.4,9
2007,Sierra,8.8,
2007,Siskiyou,9,
2007,Solano,17.3,1
2007,Sonoma,16.3,1
2007,Stanislaus,16.6,21
2007,Tehama,17.3,4
2007,Trinity,12,
2007,Tulare,17.7,10
2007,Tuolumne,12.8,
2007,Ventura,15.7,1
2007,Yolo,17.3,2
2008,Alameda,16,1
2008,Alpine,1.5,
2008,Amador,15.3,
2008,BUTTE,16.6,6
2008,Calaveras,10.4,1
2008,Colusa,16.8,1
2008,Contra Costa,15.3,4
2008,Del Norte,12.4,
2008,El Dorado,14.6,1
2008,Fresno,16.7,3
2008,Glenn,13.4,1
2008,Humboldt,13.4,
2008,Imperial,24.4,
2008,Inyo,13.4,
2008,Kern,18.9,2
2008,Kings,17.9,2
2008,Lassen,7.4,
2008,Los Angeles,16.7,156
2008,Madera,16.4,
2008,Marin,14,
2008,Mariposa,17.7,
2008,Mendocino,13.8,
2008,Modoc,11.2,
2008,Mono,11.3,
2008,Monterey,16.3,
2008,Napa,14.8,
2008,Nevada,5.9,
2008,Orange,20.2,71
2008,Placer,16.5,6
2008,Plumas,9,
2008,Riverside,14.4,62
2008,Sacramento,17.2,13
2008,San Benito,15.2,
2008,San Diego,18.5,35
2008,San Francisco,14.1,
2008,San Joaquin,16.6,12
2008,San Luis Obispo,16.8,
2008,San Mateo,11.9,
2008,Santa Barbara,17.1,1
2008,Santa Clara,15.9,1
